,dna_sid,experiment_id,sample_id,sample_type,description,sample_replicate,sample_diameter_mm,digestion_volume_ul,digested_sample_volume_ul,buffer_volume_ul,dilution_factor,assay_volume_ul,std_conc_ng_per_well,biopsy_region,culture_duration_days,master_well_plate_location,abs,sheet_name,location,ng_per_well,ug_per_ml,ug_per_biopsy,ug_per_cm2,r_squared,avg_ug_per_cm2,avg_ug_per_cm2_std
0,DNA74-1,DNA74-20240126,B6-1,sample,EXP59A-B6,1,8,500,10,390,40,20,,,,,4650965,Plate1,A3,24.26503327,48.53006655,24.26503327,48.27374987,,46.25920459,1.890228914
1,DNA74-1,DNA74-20240126,B6-1,sample,EXP59A-B6,1,8,500,10,390,40,20,,,,,4291172,Plate1,A4,22.38045004,44.76090008,22.38045004,44.52449066,,46.25920459,1.890228914
2,DNA74-1,DNA74-20240126,B6-1,sample,EXP59A-B6,1,8,500,10,390,40,20,,,,,4430788,Plate1,A5,23.1117538,46.22350759,23.1117538,45.97937325,,46.25920459,1.890228914
3,DNA74-2,DNA74-20240126,C6-4,sample,EXP59A-C6,1,8,500,10,390,40,20,,,,,4352554,Plate1,B3,22.70196682,45.40393365,22.70196682,45.16412797,,44.38502134,0.93047955
4,DNA74-2,DNA74-20240126,C6-4,sample,EXP59A-C6,1,8,500,10,390,40,20,,,,,4178918,Plate1,B4,21.79246749,43.58493498,21.79246749,43.35473654,,44.38502134,0.93047955
5,DNA74-2,DNA74-20240126,C6-4,sample,EXP59A-C6,1,8,500,10,390,40,20,,,,,4301892,Plate1,B5,22.43660103,44.87320206,22.43660103,44.6361995,,44.38502134,0.93047955
6,DNA74-3,DNA74-20240126,B5-4,sample,EXP59A-B5,2,8,500,20,0,1,20,,,,,311334,Plate1,C3,1.534196881,0.076709844,0.038354922,0.076304693,,0.085748102,0.011798269
7,DNA74-3,DNA74-20240126,B5-4,sample,EXP59A-B5,2,8,500,20,0,1,20,,,,,398350,Plate1,C4,1.989983666,0.099499183,0.049749592,0.098973668,,0.085748102,0.011798269
8,DNA74-3,DNA74-20240126,B5-4,sample,EXP59A-B5,2,8,500,20,0,1,20,,,,,333065,Plate1,C5,1.648023104,0.082401155,0.041200578,0.081965945,,0.085748102,0.011798269
9,DNA74-4,DNA74-20240126,B6-4,sample,EXP59A-B6,4,8,500,20,0,1,20,,,,,1596425,Plate1,D3,8.265458887,0.413272944,0.206636472,0.4110902,,0.416851402,0.00537779
10,DNA74-4,DNA74-20240126,B6-4,sample,EXP59A-B6,4,8,500,20,0,1,20,,,,,1621894,Plate1,D4,8.398864624,0.419943231,0.209971616,0.417725257,,0.416851402,0.00537779
11,DNA74-4,DNA74-20240126,B6-4,sample,EXP59A-B6,4,8,500,20,0,1,20,,,,,1637300,Plate1,D5,8.479560717,0.423978036,0.211989018,0.421738751,,0.416851402,0.00537779
12,DNA74-5,DNA74-20240126,DNA_40 standard,standard,DNA_40 standard,1,,,,,,20,40,,,,7983909,Plate1,A1,,,,,0.997193045,,
13,DNA74-6,DNA74-20240126,DNA_30 standard,standard,DNA_30 standard,1,,,,,,20,30,,,,5540268,Plate1,B1,,,,,0.997193045,,
14,DNA74-7,DNA74-20240126,DNA_20 standard,standard,DNA_20 standard,1,,,,,,20,20,,,,3677115,Plate1,C1,,,,,0.997193045,,
15,DNA74-8,DNA74-20240126,DNA_16 standard,standard,DNA_16 standard,1,,,,,,20,16,,,,3132476,Plate1,D1,,,,,0.997193045,,
16,DNA74-9,DNA74-20240126,DNA_12 standard,standard,DNA_12 standard,1,,,,,,20,12,,,,2409478,Plate1,E1,,,,,0.997193045,,
17,DNA74-10,DNA74-20240126,DNA_8 standard,standard,DNA_8 standard,1,,,,,,20,8,,,,1570284,Plate1,F1,,,,,0.997193045,,
18,DNA74-11,DNA74-20240126,DNA_4 standard,standard,DNA_4 standard,1,,,,,,20,4,,,,866225,Plate1,G1,,,,,0.997193045,,
19,DNA74-12,DNA74-20240126,DNA_0 standard,standard,DNA_0 standard,1,,,,,,20,0,,,,41111,Plate1,H1,,,,,0.997193045,,
20,DNA74-5,DNA74-20240126,DNA_40 standard,standard,DNA_40 standard,1,,,,,,20,40,,,,7564875,Plate1,A2,,,,,0.997193045,,
21,DNA74-6,DNA74-20240126,DNA_30 standard,standard,DNA_30 standard,1,,,,,,20,30,,,,5773652,Plate1,B2,,,,,0.997193045,,
22,DNA74-7,DNA74-20240126,DNA_20 standard,standard,DNA_20 standard,1,,,,,,20,20,,,,3643783,Plate1,C2,,,,,0.997193045,,
23,DNA74-8,DNA74-20240126,DNA_16 standard,standard,DNA_16 standard,1,,,,,,20,16,,,,2986983,Plate1,D2,,,,,0.997193045,,
24,DNA74-9,DNA74-20240126,DNA_12 standard,standard,DNA_12 standard,1,,,,,,20,12,,,,2266942,Plate1,E2,,,,,0.997193045,,
25,DNA74-10,DNA74-20240126,DNA_8 standard,standard,DNA_8 standard,1,,,,,,20,8,,,,1607156,Plate1,F2,,,,,0.997193045,,
26,DNA74-11,DNA74-20240126,DNA_4 standard,standard,DNA_4 standard,1,,,,,,20,4,,,,828070,Plate1,G2,,,,,0.997193045,,
27,DNA74-12,DNA74-20240126,DNA_0 standard,standard,DNA_0 standard,1,,,,,,20,0,,,,40222,Plate1,H2,,,,,0.997193045,,
