,experiment_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP45-20231201,Gelatin_5,,,,2.855013722206075,,,,,
1,HP45-20231202,Gelatin_5,,,,3.0080457007237933,,,,,
2,HP45-20231203,Gelatin_2.5,,,,2.1608251819735296,,,,,
3,HP45-20231204,Gelatin_2.5,,,,2.1464091260262084,,,,,
4,HP45-20231205,Gelatin_0,,,,0.16752821541122637,,,,,
5,HP45-20231206,Gelatin_0,,,,1.4954687536356255,,,,,
6,HP45-20231213,B-D01,,,,0.3809351786996519,,,,,
7,HP45-20231214,B-D01,,,,0.3386619977775054,,,,,
8,HP45-20231215,B-D01,,,,0.3668441183922698,,,,,
9,HP45-20231216,B-D01,,,,0.40442027921195545,,,,,
10,HP45-20231217,B-D02,,,,0.4443449500828718,,,,,
11,HP45-20231218,B-D02,,,,0.4372994199291807,,,,,
12,HP45-20231219,B-D02,,,,0.47957260085132725,,,,,
13,HP45-20231220,B-D02,,,,0.4537389902877932,,,,,
14,HP45-20231221,B-D03,,,,0.5171487616710129,,,,,
15,HP45-20231222,B-D03,,,,0.4678300505951754,,,,,
16,HP45-20231223,B-D03,,,,0.5218457817734736,,,,,
17,HP45-20231224,B-D03,,,,0.4819211109025574,,,,,
18,HP45-20231225,B-D04,,,,0.6622234116108705,,,,,
19,HP45-20231226,B-D04,,,,0.6501918754781929,,,,,
20,HP45-20231227,B-D04,,,,0.7512567789926857,,,,,
21,HP45-20231228,B-D04,,,,0.6910990983292971,,,,,
22,HP45-20231229,B-D05,,,,0.7344126284069371,,,,,
23,HP45-20231230,B-D05,,,,0.7656946223518994,,,,,
24,HP45-20231231,B-D05,,,,0.8162270741091462,,,,,
25,HP45-20231232,B-D05,,,,0.7897576946172551,,,,,
26,HP45-20231233,B-D06,,,,0.8354775319214307,,,,,
27,HP45-20231234,B-D06,,,,0.7849450801641837,,,,,
28,HP45-20231235,B-D06,,,,0.8980415198113549,,,,,
29,HP45-20231236,B-D06,,,,0.8402901463745014,,,,,
30,HP45-20231237,B-D07,,,,0.8896427869032297,,,,,
31,HP45-20231238,B-D07,,,,0.7817784596702174,,,,,
32,HP45-20231239,B-D07,,,,0.8949044614024009,,,,,
33,HP45-20231240,B-D07,,,,1.0132921376337551,,,,,
34,HP45-20231241,B-D08,,,,0.8133485066652456,,,,,
35,HP45-20231242,B-D08,,,,0.744946738176018,,,,,
36,HP45-20231243,B-D08,,,,0.8001943204173172,,,,,
37,HP45-20231244,B-D08,,,,0.9975071141362415,,,,,
38,HP45-20231245,B-D09,,,,0.8265026929131738,,,,,
39,HP45-20231246,B-D09,,,,0.8054559949164886,,,,,
40,HP45-20231247,B-D09,,,,0.9606753926420424,,,,,
41,HP45-20231248,B-D09,,,,1.0027687886354126,,,,,
42,HP45-20231249,B-D10,,,,0.8638168900855041,,,,,
43,HP45-20231250,B-D10,,,,0.8685298314528977,,,,,
44,HP45-20231251,B-D10,,,,0.965145129484464,,,,,
45,HP45-20231252,B-D10,,,,0.9533627760659801,,,,,
46,HP45-20231253,B-D11,,,,0.8897380676061685,,,,,
47,HP45-20231254,B-D11,,,,1.0169874845257927,,,,,
48,HP45-20231255,B-D11,,,,1.2055051392215317,,,,,
49,HP45-20231256,B-D11,,,,1.636739274338035,,,,,
50,HP45-20231257,No_ChT_EXP50_B-D01,,,,0.18366033439630164,,,,,
51,HP45-20231258,No_ChT_EXP50_B-D01,,,,0.19775139470368375,,,,,
52,HP45-20231259,No_ChT_EXP50_B-D01,,,,0.5265428018759344,,,,,
53,HP45-20231260,No_ChT_EXP50_B-D01,,,,0.2165394751135266,,,,,
54,HP45-20231261,No_ChT_EXP50_B-D02,,,,0.2494186158307518,,,,,
55,HP45-20231262,No_ChT_EXP50_B-D02,,,,0.2729037163430554,,,,,
56,HP45-20231263,No_ChT_EXP50_B-D02,,,,0.28699477665043766,,,,,
57,HP45-20231264,No_ChT_EXP50_B-D02,,,,0.26350967613813386,,,,,
58,HP45-20231265,No_ChT_EXP50_B-D03,,,,0.2635096761381339,,,,,
59,HP45-20231266,No_ChT_EXP50_B-D03,,,,0.23532755552336962,,,,,
60,HP45-20231267,No_ChT_EXP50_B-D03,,,,0.24472159572829097,,,,,
61,HP45-20231268,No_ChT_EXP50_B-D03,,,,0.277600736445516,,,,,
62,HP45-20231269,No_ChT_EXP50_B-D04,,,,0.3060899420836085,,,,,
63,HP45-20231270,No_ChT_EXP50_B-D04,,,,0.2194628819283287,,,,,
64,HP45-20231271,No_ChT_EXP50_B-D04,,,,0.2579637975528975,,,,,
65,HP45-20231272,No_ChT_EXP50_B-D04,,,,0.2724016409121108,,,,,
66,HP45-20231273,No_ChT_EXP50_B-D05,,,,0.27240164091211083,,,,,
67,HP45-20231274,No_ChT_EXP50_B-D05,,,,0.24352595419368403,,,,,
68,HP45-20231275,No_ChT_EXP50_B-D05,,,,0.22427549638139968,,,,,
69,HP45-20231276,No_ChT_EXP50_B-D05,,,,0.26758902645903954,,,,,
70,HP45-20231277,No_ChT_EXP50_B-D06,,,,0.27721425536518185,,,,,
71,HP45-20231278,No_ChT_EXP50_B-D06,,,,0.22427549638139965,,,,,
72,HP45-20231279,No_ChT_EXP50_B-D06,,,,0.2146502674752575,,,,,
73,HP45-20231280,No_ChT_EXP50_B-D06,,,,0.23390072528754186,,,,,
74,HP45-20231281,No_ChT_EXP50_B-D07,,,,0.20299426476137203,,,,,
75,HP45-20231282,No_ChT_EXP50_B-D07,,,,0.1661625432671729,,,,,
76,HP45-20231283,No_ChT_EXP50_B-D07,,,,0.1661625432671729,,,,,
77,HP45-20231284,No_ChT_EXP50_B-D07,,,,0.21877928825888598,,,,,
78,HP45-20231285,No_ChT_EXP50_B-D08,,,,0.2135176137597147,,,,,
79,HP45-20231286,No_ChT_EXP50_B-D08,,,,0.1766858922655154,,,,,
80,HP45-20231287,No_ChT_EXP50_B-D08,,,,0.18194756676468665,,,,,
81,HP45-20231288,No_ChT_EXP50_B-D08,,,,0.266134358751428,,,,,
82,HP45-20231289,No_ChT_EXP50_B-D09,,,,0.266134358751428,,,,,
83,HP45-20231290,No_ChT_EXP50_B-D09,,,,0.21351761375971468,,,,,
84,HP45-20231291,No_ChT_EXP50_B-D09,,,,0.23982598625557133,,,,,
85,HP45-20231292,No_ChT_EXP50_B-D09,,,,0.30296608024562727,,,,,
86,HP45-20231293,No_ChT_EXP50_B-D10,,,,0.20871804001780989,,,,,
87,HP45-20231294,No_ChT_EXP50_B-D10,,,,0.2040050986504165,,,,,
88,HP45-20231295,No_ChT_EXP50_B-D10,,,,0.18044039181344892,,,,,
