,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,7,HP45-20231207,S5,standard,liquid,231108,s5,11-28-2023,1,,1000,1,20,,,,,DS,1,,,11-29-2023,1.145,Plate1,H1,,1.145,0.9933368630803993,,,,,
1,8,HP45-20231208,S4,standard,liquid,231108,s4,11-28-2023,1,,1000,1,20,,,,,DS,0.8,,,11-29-2023,1.033,Plate1,H2,,1.033,0.9933368630803993,,,,,
2,9,HP45-20231209,S3,standard,liquid,231108,s3,11-28-2023,1,,1000,1,20,,,,,DS,0.6,,,11-29-2023,0.817,Plate1,H3,,0.817,0.9933368630803993,,,,,
3,10,HP45-20231210,S2,standard,liquid,231108,s2,11-28-2023,1,,1000,1,20,,,,,DS,0.4,,,11-29-2023,0.563,Plate1,H4,,0.563,0.9933368630803993,,,,,
4,11,HP45-20231211,S1,standard,liquid,231108,s1,11-28-2023,1,,1000,1,20,,,,,DS,0.2,,,11-29-2023,0.331,Plate1,H5,,0.331,0.9933368630803993,,,,,
5,12,HP45-20231212,S0,standard,liquid,231108,s0,11-28-2023,1,,1000,1,20,,,,,DS,0,,,11-29-2023,0.086,Plate1,H6,,0.086,0.9933368630803993,,,,,
6,7,HP45-20231207,S5,standard,liquid,231108,s5,11-28-2023,1,,1000,1,20,,,,,DS,1,,,11-29-2023,1.23,Plate1,H7,,1.23,0.9933368630803993,,,,,
7,8,HP45-20231208,S4,standard,liquid,231108,s4,11-28-2023,1,,1000,1,20,,,,,DS,0.8,,,11-29-2023,1.042,Plate1,H8,,1.042,0.9933368630803993,,,,,
8,9,HP45-20231209,S3,standard,liquid,231108,s3,11-28-2023,1,,1000,1,20,,,,,DS,0.6,,,11-29-2023,0.764,Plate1,H9,,0.764,0.9933368630803993,,,,,
9,10,HP45-20231210,S2,standard,liquid,231108,s2,11-28-2023,1,,1000,1,20,,,,,DS,0.4,,,11-29-2023,0.563,Plate1,H10,,0.563,0.9933368630803993,,,,,
10,11,HP45-20231211,S1,standard,liquid,231108,s1,11-28-2023,1,,1000,1,20,,,,,DS,0.2,,,11-29-2023,0.326,Plate1,H11,,0.326,0.9933368630803993,,,,,
11,12,HP45-20231212,S0,standard,liquid,231108,s0,11-28-2023,1,,1000,1,20,,,,,DS,0,,,11-29-2023,0.085,Plate1,H12,,0.085,0.9933368630803993,,,,,
12,13,HP45-20231213,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.18,Plate1,A1,,0.18,,,3.541065022091211,0.3762381585971912,,
13,13,HP45-20231213,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.181,Plate1,B1,,0.181,,,3.5852722701143716,0.38093517869965193,,
14,13,HP45-20231213,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.181,Plate1,C1,,0.181,,,3.5852722701143716,0.38093517869965193,,
15,13,HP45-20231213,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.182,Plate1,D1,,0.182,,,3.629479518137531,0.3856321988021127,,
16,57,HP45-20231257,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.143,Plate1,E1,,0.143,,,1.9053968452343009,0.20244841480614448,,
17,57,HP45-20231257,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.139,Plate1,F1,,0.139,,,1.728567853141663,0.18366033439630172,,
