,dna_sid,experiment_id,sample_id,sample_type,description,sample_diameter_mm,digestion_volume_ul,digested_sample_volume_ul,buffer_volume_ul,dilution_factor,assay_volume_ul,biopsy_region,culture_duration_days,master_well_plate_location,avg_ug_per_cm2,avg_ug_per_cm2_std
0,DNA288-10,DNA288,"2 EXP177B
ODFC-SV40 - D
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,317.8147012402506,5.919800555163904
1,DNA288-11,DNA288,"3 EXP177B
ODFC-SV40 - E
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,396.66389906371387,8.597960209782235
2,DNA288-12,DNA288,"1 EXP163B
F4-ST_P20 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,383.6717789892975,14.360529537100053
3,DNA288-13,DNA288,"2 EXP163B
F4-ST_P20 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,587.2138101184607,20.708979526192987
4,DNA288-14,DNA288,"3 EXP163B
F4-ST_P20 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,321.5935796166639,2.0673339886657986
5,DNA288-15,DNA288,"4 EXP163B
F7-ST_P20 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,906.6617642818906,29.665205103500302
6,DNA288-16,DNA288,"5 EXP163B
F7-ST_P20 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,695.1903982116846,26.00286406132881
7,DNA288-17,DNA288,"6 EXP163B
F7-ST_P20 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,360.7842392017942,26.76448355494655
8,DNA288-18,DNA288,"7 EXP163B
F4-ST_P21 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,349.8019786461043,10.225544045833946
9,DNA288-19,DNA288,"8 EXP163B
F4-ST_P21 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,402.3297951947089,15.68314937162365
10,DNA288-20,DNA288,"9 EXP163B
F4-ST_P21 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,474.6417686093394,40.14228628830037
11,DNA288-21,DNA288,"10 EXP163B
F7-ST_P21 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,314.9781732318168,17.541804124503653
12,DNA288-22,DNA288,"11 EXP163B
F7-ST_P21 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,328.24045966649265,11.027298103860472
13,DNA288-23,DNA288,"12 EXP163B
F7-ST_P21 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,337.02809587079923,12.799672554915347
14,DNA288-24,DNA288,"13 EXP163B
F4-ST_P22 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,491.89026183786996,21.477469689151526
15,DNA288-25,DNA288,"14 EXP163B
F4-ST_P22 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,248.07074022525936,4.074448184596429
16,DNA288-26,DNA288,"15 EXP163B
F4-ST_P22 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,505.28104833538714,6.5968864531148155
17,DNA288-27,DNA288,"16 EXP163B
F7-ST_P22 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,385.0909976449641,5.58316293895251
18,DNA288-28,DNA288,"17 EXP163B
F7-ST_P22 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,407.15404674137966,25.341085456134213
19,DNA288-29,DNA288,"18 EXP163B
F7-ST_P22 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,327.58138222763387,9.008099121497667
20,DNA288-30,DNA288,"19 EXP163B
F4-ST_P23 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,482.2389146787513,0.7235970569799001
21,DNA288-31,DNA288,"20 EXP163B
F4-ST_P23 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,484.60379514961346,9.526515122168432
22,DNA288-32,DNA288,"21 EXP163B
F4-ST_P23 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,487.3667453864203,12.162885887350056
23,DNA288-33,DNA288,"22 EXP163B
F7-ST_P23 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,377.0912020584501,16.490326431641165
24,DNA288-34,DNA288,"23 EXP163B
F7-ST_P23 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,352.1670584002383,12.609367577078599
25,DNA288-35,DNA288,"24 EXP163B
F7-ST_P23 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,324.5803831021181,7.411446748734173
26,DNA288-36,DNA288,"25 EXP163B
F4-ST_P24 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,446.0857169914315,25.57673604726515
27,DNA288-37,DNA288,"26 EXP163B
F4-ST_P24 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,438.06722098807785,6.234046438890208
28,DNA288-38,DNA288,"27 EXP163B
F4-ST_P24 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,409.1039181267315,8.399590507341951
29,DNA288-39,DNA288,"28 EXP163B
F7-ST_P24 - A
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,376.33196767117414,3.0914469192944973
30,DNA288-40,DNA288,"29 EXP163B
F7-ST_P24 - B
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,432.43427816588684,27.51380670556761
31,DNA288-41,DNA288,"30 EXP163B
F7-ST_P24 - C
",sample,,8.0,500.0,10.0,390.0,40.0,20,,,,394.50946202839947,7.20475812890616
32,DNA288-42,DNA288,PN2 P15 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,12.25599219662964,0.5018360731205872
33,DNA288-43,DNA288,PN2 P15 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,13.592265039625998,0.44460532376823897
34,DNA288-44,DNA288,F4 P15 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,10.91111942493537,0.7488109123686931
35,DNA288-45,DNA288,F4 P15 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,12.01898088520043,0.7074934043191802
36,DNA288-46,DNA288,F7 P15 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,33.46158848803009,0.6303382152723845
37,DNA288-47,DNA288,F7 P15 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,45.99474328442471,1.0726104341141924
38,DNA288-48,DNA288,PN2 P16 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,22.021719267877206,2.1362271764436875
39,DNA288-49,DNA288,PN2 P16 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,16.449253532577163,1.066322549088505
40,DNA288-50,DNA288,F4 P16 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,23.091692857130866,0.38676669240968403
41,DNA288-51,DNA288,F4 P16 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,65.77287711129445,0.8172079002449978
42,DNA288-52,DNA288,F7 P16 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,31.1048518767188,0.08664745639615413
43,DNA288-53,DNA288,F7 P16 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,62.04969458193887,0.71474538705703
44,DNA288-54,DNA288,PN2 P17 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,24.531154369558603,0.23734236065116013
45,DNA288-55,DNA288,PN2 P17 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,19.50195587180343,0.34969752399484244
46,DNA288-56,DNA288,F4 P17 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,54.11519191386452,0.8543632869456768
47,DNA288-57,DNA288,F4 P17 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,44.74127383905673,0.7383588817496359
48,DNA288-58,DNA288,F7 P17 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,16.451454319234973,0.31148448896554076
49,DNA288-59,DNA288,F7 P17 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,21.915026005288183,0.7970556706621287
50,DNA288-60,DNA288,PN2 P18 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,7.753829286151785,0.6666043204895586
51,DNA288-61,DNA288,PN2 P18 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,14.623825724970283,0.9136542036306511
52,DNA288-62,DNA288,F4 P18 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,18.957823193188307,0.9102717549786088
53,DNA288-63,DNA288,F4 P18 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,33.81987672632053,1.0384867520535537
54,DNA288-64,DNA288,F7 P18 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,28.9892014809206,1.0138289573973747
55,DNA288-65,DNA288,F7 P18 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,22.047028388817452,0.4203888732707373
56,DNA288-66,DNA288,PN2 P19 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,6.1445787457037015,0.6467850698899033
57,DNA288-67,DNA288,PN2 P19 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,2.6748176768794405,0.43477679671468933
58,DNA288-68,DNA288,F4 P19 A3,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,48.97641847802095,0.25330177863798886
59,DNA288-69,DNA288,F4 P19 A4,sample,EXP143,8.0,500.0,10.0,390.0,40.0,20,,,,27.26907540158736,0.3534837213826883
