,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,scaffold_type,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,ug/well,r_squared
0,31,HP1,G5,control,,,,,,,,,,SZ,10,,,07-26-2023,500,100,1000,20,0.915,Plate2,E9,0.849,0.835330317511238,0.9739824251098087
1,32,HP1,G2.5,control,,,,,,,,,,SZ,5,,,07-26-2023,500,100,1000,20,0.656,Plate2,F9,0.5900000000000001,0.5652586339598188,0.9739824251098087
2,33,HP1,G0,control,,,,,,,,,,SZ,0,,,07-26-2023,500,100,1000,20,0.118,Plate2,G9,0.05199999999999999,0.004260310598183076,0.9739824251098087
3,31,HP1,G5,control,,,,,,,,,,SZ,10,,,07-26-2023,500,100,1000,20,0.976,Plate2,E10,0.9099999999999999,0.8989379341005683,0.9739824251098087
4,32,HP1,G2.5,control,,,,,,,,,,SZ,5,,,07-26-2023,500,100,1000,20,0.672,Plate2,F10,0.6060000000000001,0.5819425989668563,0.9739824251098087
5,33,HP1,G0,control,,,,,,,,,,SZ,0,,,07-26-2023,500,100,1000,20,0.122,Plate2,G10,0.055999999999999994,0.008431301849942452,0.9739824251098087
6,31,HP1,G5,control,,,,,,,,,,SZ,10,,,07-26-2023,500,100,1000,20,1.014,Plate2,E11,0.948,0.9385623509922825,0.9739824251098087
7,32,HP1,G2.5,control,,,,,,,,,,SZ,5,,,07-26-2023,500,100,1000,20,0.665,Plate2,F11,0.599,0.5746433642762773,0.9739824251098087
8,33,HP1,G0,control,,,,,,,,,,SZ,0,,,07-26-2023,500,100,1000,20,0.123,Plate2,G11,0.056999999999999995,0.009474049662882296,0.9739824251098087
9,31,HP1,G5,control,,,,,,,,,,SZ,10,,,07-26-2023,500,100,1000,20,0.949,Plate2,E12,0.883,0.8707837431511927,0.9739824251098087
10,32,HP1,G2.5,control,,,,,,,,,,SZ,5,,,07-26-2023,500,100,1000,20,0.623,Plate2,F12,0.5569999999999999,0.5308479561328038,0.9739824251098087
11,33,HP1,G0,control,,,,,,,,,,SZ,0,,,07-26-2023,500,100,1000,20,0.112,Plate2,G12,0.046,-0.0019961762794559745,0.9739824251098087
