,ID,experiment_ID,location,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,sheet_name
0,1,HP2,B2,SZ-0526-1-1,sample,526,1,0526-1,1,1653.415,1641.155,12.26,SZ,,HPL,V2P1,07-27-2023,Digestion1
1,2,HP2,C2,SZ-0526-1-2,sample,526,1,0526-1,2,1651.245,1638.63,12.615,SZ,,HPL,V2P1,07-26-2023,Digestion1
2,3,HP2,D2,SZ-0526-1-3,sample,526,1,0526-1,3,1654.31,1641.285,13.025,SZ,,HPL,V2P1,07-26-2023,Digestion1
3,4,HP2,E2,SZ-0526-2-1,sample,526,2,0526-2,1,1630.35,1618.18,12.17,SZ,,HPL,V2P1,07-26-2023,Digestion1
4,5,HP2,F2,SZ-0526-2-2,sample,526,2,0526-2,2,1674.71,1661.275,13.435,SZ,,HPL,V2P1,07-26-2023,Digestion1
5,6,HP2,G2,SZ-0526-2-3,sample,526,2,0526-2,3,1634.525,1621.96,12.565,SZ,,HPL,V2P1,07-26-2023,Digestion1
6,1,HP2,B3,SZ-0526-1-1,sample,526,1,0526-1,1,1653.415,1641.155,12.26,SZ,,HPL,V2P1,07-27-2023,Digestion1
7,2,HP2,C3,SZ-0526-1-2,sample,526,1,0526-1,2,1651.245,1638.63,12.615,SZ,,HPL,V2P1,07-26-2023,Digestion1
8,3,HP2,D3,SZ-0526-1-3,sample,526,1,0526-1,3,1654.31,1641.285,13.025,SZ,,HPL,V2P1,07-26-2023,Digestion1
9,4,HP2,E3,SZ-0526-2-1,sample,526,2,0526-2,1,1630.35,1618.18,12.17,SZ,,HPL,V2P1,07-26-2023,Digestion1
10,5,HP2,F3,SZ-0526-2-2,sample,526,2,0526-2,2,1674.71,1661.275,13.435,SZ,,HPL,V2P1,07-26-2023,Digestion1
11,6,HP2,G3,SZ-0526-2-3,sample,526,2,0526-2,3,1634.525,1621.96,12.565,SZ,,HPL,V2P1,07-26-2023,Digestion1
12,1,HP2,B4,SZ-0526-1-1,sample,526,1,0526-1,1,1653.415,1641.155,12.26,SZ,,HPL,V2P1,07-27-2023,Digestion1
13,2,HP2,C4,SZ-0526-1-2,sample,526,1,0526-1,2,1651.245,1638.63,12.615,SZ,,HPL,V2P1,07-26-2023,Digestion1
14,3,HP2,D4,SZ-0526-1-3,sample,526,1,0526-1,3,1654.31,1641.285,13.025,SZ,,HPL,V2P1,07-26-2023,Digestion1
15,4,HP2,E4,SZ-0526-2-1,sample,526,2,0526-2,1,1630.35,1618.18,12.17,SZ,,HPL,V2P1,07-26-2023,Digestion1
16,5,HP2,F4,SZ-0526-2-2,sample,526,2,0526-2,2,1674.71,1661.275,13.435,SZ,,HPL,V2P1,07-26-2023,Digestion1
17,6,HP2,G4,SZ-0526-2-3,sample,526,2,0526-2,3,1634.525,1621.96,12.565,SZ,,HPL,V2P1,07-26-2023,Digestion1
18,1,HP2,B5,SZ-0526-1-1,sample,526,1,0526-1,1,1653.415,1641.155,12.26,SZ,,HPL,V2P1,07-27-2023,Digestion1
19,2,HP2,C5,SZ-0526-1-2,sample,526,1,0526-1,2,1651.245,1638.63,12.615,SZ,,HPL,V2P1,07-26-2023,Digestion1
20,3,HP2,D5,SZ-0526-1-3,sample,526,1,0526-1,3,1654.31,1641.285,13.025,SZ,,HPL,V2P1,07-26-2023,Digestion1
21,4,HP2,E5,SZ-0526-2-1,sample,526,2,0526-2,1,1630.35,1618.18,12.17,SZ,,HPL,V2P1,07-26-2023,Digestion1
22,5,HP2,F5,SZ-0526-2-2,sample,526,2,0526-2,2,1674.71,1661.275,13.435,SZ,,HPL,V2P1,07-26-2023,Digestion1
23,6,HP2,G5,SZ-0526-2-3,sample,526,2,0526-2,3,1634.525,1621.96,12.565,SZ,,HPL,V2P1,07-26-2023,Digestion1
24,7,HP2,B6,SZ-0526-3-1,sample,526,3,0526-3,1,1640.535,1627.705,12.83,SZ,,FBS,V2P1,07-26-2023,Digestion1
25,8,HP2,C6,SZ-0526-3-2,sample,526,3,0526-3,2,1654.8,1642.14,12.66,SZ,,FBS,V2P1,07-26-2023,Digestion1
26,9,HP2,D6,SZ-0526-3-3,sample,526,3,0526-3,3,1646.195,1632.825,13.37,SZ,,FBS,V2P1,07-26-2023,Digestion1
27,10,HP2,E6,SZ-0526-4-1,sample,526,4,0526-4,1,1650.125,1636.775,13.35,SZ,,FBS,V2P1,07-26-2023,Digestion1
28,11,HP2,F6,SZ-0526-4-2,sample,526,4,0526-4,2,1637.985,1624.165,13.82,SZ,,FBS,V2P1,07-26-2023,Digestion1
29,12,HP2,G6,SZ-0526-4-3,sample,526,4,0526-4,3,1649.095,1635.38,13.715,SZ,,FBS,V2P1,07-26-2023,Digestion1
30,7,HP2,B7,SZ-0526-3-1,sample,526,3,0526-3,1,1640.535,1627.705,12.83,SZ,,FBS,V2P1,07-26-2023,Digestion1
31,8,HP2,C7,SZ-0526-3-2,sample,526,3,0526-3,2,1654.8,1642.14,12.66,SZ,,FBS,V2P1,07-26-2023,Digestion1
32,9,HP2,D7,SZ-0526-3-3,sample,526,3,0526-3,3,1646.195,1632.825,13.37,SZ,,FBS,V2P1,07-26-2023,Digestion1
33,10,HP2,E7,SZ-0526-4-1,sample,526,4,0526-4,1,1650.125,1636.775,13.35,SZ,,FBS,V2P1,07-26-2023,Digestion1
34,11,HP2,F7,SZ-0526-4-2,sample,526,4,0526-4,2,1637.985,1624.165,13.82,SZ,,FBS,V2P1,07-26-2023,Digestion1
35,12,HP2,G7,SZ-0526-4-3,sample,526,4,0526-4,3,1649.095,1635.38,13.715,SZ,,FBS,V2P1,07-26-2023,Digestion1
36,7,HP2,B8,SZ-0526-3-1,sample,526,3,0526-3,1,1640.535,1627.705,12.83,SZ,,FBS,V2P1,07-26-2023,Digestion1
37,8,HP2,C8,SZ-0526-3-2,sample,526,3,0526-3,2,1654.8,1642.14,12.66,SZ,,FBS,V2P1,07-26-2023,Digestion1
38,9,HP2,D8,SZ-0526-3-3,sample,526,3,0526-3,3,1646.195,1632.825,13.37,SZ,,FBS,V2P1,07-26-2023,Digestion1
39,10,HP2,E8,SZ-0526-4-1,sample,526,4,0526-4,1,1650.125,1636.775,13.35,SZ,,FBS,V2P1,07-26-2023,Digestion1
40,11,HP2,F8,SZ-0526-4-2,sample,526,4,0526-4,2,1637.985,1624.165,13.82,SZ,,FBS,V2P1,07-26-2023,Digestion1
41,12,HP2,G8,SZ-0526-4-3,sample,526,4,0526-4,3,1649.095,1635.38,13.715,SZ,,FBS,V2P1,07-26-2023,Digestion1
42,7,HP2,B9,SZ-0526-3-1,sample,526,3,0526-3,1,1640.535,1627.705,12.83,SZ,,FBS,V2P1,07-26-2023,Digestion1
43,8,HP2,C9,SZ-0526-3-2,sample,526,3,0526-3,2,1654.8,1642.14,12.66,SZ,,FBS,V2P1,07-26-2023,Digestion1
44,9,HP2,D9,SZ-0526-3-3,sample,526,3,0526-3,3,1646.195,1632.825,13.37,SZ,,FBS,V2P1,07-26-2023,Digestion1
45,10,HP2,E9,SZ-0526-4-1,sample,526,4,0526-4,1,1650.125,1636.775,13.35,SZ,,FBS,V2P1,07-26-2023,Digestion1
46,11,HP2,F9,SZ-0526-4-2,sample,526,4,0526-4,2,1637.985,1624.165,13.82,SZ,,FBS,V2P1,07-26-2023,Digestion1
47,12,HP2,G9,SZ-0526-4-3,sample,526,4,0526-4,3,1649.095,1635.38,13.715,SZ,,FBS,V2P1,07-26-2023,Digestion1
