,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,scaffold_type,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,net weight mg,ug/well,mg/biopsy,ug/cm2
0,1,HP2,VA-0526-1-1,sample,526,1,0526-1,8,1,1653.415,1653.415,1641.155,1641.155,VA,,HPL,V2P1,07-27-2023,500,100,1000,20,0.191,Plate1,A1,0.121,12.259999999999991,-0.010500170073236018,-0.0026250425183090044,-3.342307940922202
1,2,HP2,VA-0526-1-2,sample,526,1,0526-1,8,2,1651.245,1651.245,1638.63,1638.63,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.551,Plate1,B1,0.48100000000000004,12.614999999999782,-0.010621094900603152,-0.002655273725150788,-0.8451998772395573
2,3,HP2,VA-0526-1-3,sample,526,1,0526-1,8,3,1654.31,1654.31,1641.285,1641.285,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.551,Plate1,C1,0.48100000000000004,13.024999999999864,-0.010621094900603152,-0.002655273725150788,-0.3756443898842477
3,4,HP2,VA-0526-2-1,sample,526,2,0526-2,8,1,1630.35,1630.35,1618.18,1618.18,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.479,Plate1,D1,0.409,12.169999999999845,-0.010596909935129725,-0.0026492274837824313,-3.3731011953510235
4,5,HP2,VA-0526-2-2,sample,526,2,0526-2,8,2,1674.71,1674.71,1661.275,1661.275,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.465,Plate1,E1,0.395,13.434999999999945,-0.010592207302954336,-0.002648051825738584,-0.8429010752596278
5,6,HP2,VA-0526-2-3,sample,526,2,0526-2,8,3,1634.525,1634.525,1621.96,1621.96,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.434,Plate1,F1,0.364,12.565000000000055,-0.010581794331708833,-0.002645448582927208,-0.3742544165940578
8,1,HP2,VA-0526-1-1,sample,526,1,0526-1,8,1,1653.415,1653.415,1641.155,1641.155,VA,,HPL,V2P1,07-27-2023,500,100,1000,20,0.173,Plate1,A2,0.10299999999999998,12.259999999999991,-0.010494123831867663,-0.0026235309579669156,-3.340383362520401
9,2,HP2,VA-0526-1-2,sample,526,1,0526-1,8,2,1651.245,1651.245,1638.63,1638.63,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.502,Plate1,B2,0.432,12.614999999999782,-0.010604635687989292,-0.002651158921997323,-0.8438900947161091
10,3,HP2,VA-0526-1-3,sample,526,1,0526-1,8,3,1654.31,1654.31,1641.285,1641.285,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.536,Plate1,C2,0.466,13.024999999999864,-0.010616056366129521,-0.0026540140915323803,-0.3754661881803772
11,4,HP2,VA-0526-2-1,sample,526,2,0526-2,8,1,1630.35,1630.35,1618.18,1618.18,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.553,Plate1,D2,0.48300000000000004,12.169999999999845,-0.010621766705199636,-0.002655441676299909,-3.3810133510028733
12,5,HP2,VA-0526-2-2,sample,526,2,0526-2,8,2,1674.71,1674.71,1661.275,1661.275,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.472,Plate1,E2,0.40199999999999997,13.434999999999945,-0.010594558619042032,-0.002648639654760508,-0.8430881870486919
13,6,HP2,VA-0526-2-3,sample,526,2,0526-2,8,3,1634.525,1634.525,1621.96,1621.96,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.453,Plate1,F2,0.383,12.565000000000055,-0.010588176475375433,-0.0026470441188438582,-0.3744801387522938
16,1,HP2,VA-0526-1-1,sample,526,1,0526-1,8,1,1653.415,1653.415,1641.155,1641.155,VA,,HPL,V2P1,07-27-2023,500,100,1000,20,0.147,Plate1,A3,0.07699999999999999,12.259999999999991,-0.010485390372113369,-0.002621347593028342,-3.3376034159400207
17,2,HP2,VA-0526-1-2,sample,526,1,0526-1,8,2,1651.245,1651.245,1638.63,1638.63,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.483,Plate1,B3,0.413,12.614999999999782,-0.010598253544322693,-0.0026495633860806733,-0.8433822198600781
18,3,HP2,VA-0526-1-3,sample,526,1,0526-1,8,3,1654.31,1654.31,1641.285,1641.285,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.518,Plate1,C3,0.448,13.024999999999864,-0.010610010124761165,-0.002652502531190291,-0.37525234613573255
19,4,HP2,VA-0526-2-1,sample,526,2,0526-2,8,1,1630.35,1630.35,1618.18,1618.18,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.517,Plate1,D3,0.447,12.169999999999845,-0.010609674222462923,-0.0026524185556157306,-3.377164194199271
20,5,HP2,VA-0526-2-2,sample,526,2,0526-2,8,2,1674.71,1674.71,1661.275,1661.275,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.497,Plate1,E3,0.427,13.434999999999945,-0.010602956176498082,-0.002650739044124521,-0.8437564434382063
21,6,HP2,VA-0526-2-3,sample,526,2,0526-2,8,3,1634.525,1634.525,1621.96,1621.96,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.489,Plate1,F3,0.419,12.565000000000055,-0.010600268958112145,-0.002650067239528036,-0.3749078228415829
24,1,HP2,VA-0526-1-1,sample,526,1,0526-1,8,1,1653.415,1653.415,1641.155,1641.155,VA,,HPL,V2P1,07-27-2023,500,100,1000,20,0.19,Plate1,A4,0.12,12.259999999999991,-0.010499834170937776,-0.0026249585427344443,-3.34220101989988
25,2,HP2,VA-0526-1-2,sample,526,1,0526-1,8,2,1651.245,1651.245,1638.63,1638.63,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.491,Plate1,B4,0.421,12.614999999999782,-0.01060094076270863,-0.0026502351906771576,-0.8435960619047228
26,3,HP2,VA-0526-1-3,sample,526,1,0526-1,8,3,1654.31,1654.31,1641.285,1641.285,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.517,Plate1,C4,0.447,13.024999999999864,-0.010609674222462923,-0.0026524185556157306,-0.37524046602214123
27,4,HP2,VA-0526-2-1,sample,526,2,0526-2,8,1,1630.35,1630.35,1618.18,1618.18,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.506,Plate1,D4,0.436,12.169999999999845,-0.01060597929718226,-0.002651494824295565,-3.3759880629537253
28,5,HP2,VA-0526-2-2,sample,526,2,0526-2,8,2,1674.71,1674.71,1661.275,1661.275,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.497,Plate1,E4,0.427,13.434999999999945,-0.010602956176498082,-0.002650739044124521,-0.8437564434382063
29,6,HP2,VA-0526-2-3,sample,526,2,0526-2,8,3,1634.525,1634.525,1621.96,1621.96,VA,,HPL,V2P1,07-26-2023,500,100,1000,20,0.49,Plate1,F4,0.42,12.565000000000055,-0.010600604860410388,-0.002650151215102597,-0.37491970295517435
32,7,HP2,VA-0526-3-1,sample,526,3,0526-3,8,1,1640.535,1640.535,1627.705,1627.705,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.648,Plate1,A5,0.5780000000000001,12.830000000000155,-0.01065367742353263,-0.0026634193558831573,-3.3911708481234917
33,8,HP2,VA-0526-3-2,sample,526,3,0526-3,8,2,1654.8,1654.8,1642.14,1642.14,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.689,Plate1,B5,0.619,12.659999999999854,-0.010667449417760553,-0.002666862354440138,-0.8488886525096764
34,9,HP2,VA-0526-3-3,sample,526,3,0526-3,8,3,1646.195,1646.195,1632.825,1632.825,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.694,Plate1,C5,0.6239999999999999,13.36999999999989,-0.010669128929251762,-0.002667282232312941,-0.37734324612781306
35,10,HP2,VA-0526-4-1,sample,526,4,0526-4,8,1,1650.125,1650.125,1636.775,1636.775,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.75,Plate1,D5,0.6799999999999999,13.349999999999909,-0.010687939457953316,-0.0026719848644883287,-3.402076792400365
36,11,HP2,VA-0526-4-2,sample,526,4,0526-4,8,2,1637.985,1637.985,1624.165,1624.165,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.76,Plate1,E5,0.69,13.819999999999936,-0.010691298480935738,-0.0026728246202339344,-0.8507865006558972
37,12,HP2,VA-0526-4-3,sample,526,4,0526-4,8,3,1649.095,1649.095,1635.38,1635.38,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.704,Plate1,F5,0.6339999999999999,13.714999999999918,-0.010672487952234183,-0.002668121988058546,-0.3774620472637267
40,7,HP2,VA-0526-3-1,sample,526,3,0526-3,8,1,1640.535,1640.535,1627.705,1627.705,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.669,Plate1,A6,0.599,12.830000000000155,-0.010660731371795712,-0.002665182842948928,-3.3934161895922594
41,8,HP2,VA-0526-3-2,sample,526,3,0526-3,8,2,1654.8,1654.8,1642.14,1642.14,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.677,Plate1,B6,0.607,12.659999999999854,-0.01066341859018165,-0.0026658546475454123,-0.8485678894427097
42,9,HP2,VA-0526-3-3,sample,526,3,0526-3,8,3,1646.195,1646.195,1632.825,1632.825,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.718,Plate1,C6,0.6479999999999999,13.36999999999989,-0.010677190584409572,-0.0026692976461023935,-0.3776283688540059
43,10,HP2,VA-0526-4-1,sample,526,4,0526-4,8,1,1650.125,1650.125,1636.775,1636.775,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.678,Plate1,D6,0.6080000000000001,13.349999999999909,-0.010663754492479891,-0.002665938623119973,-3.394378478793161
44,11,HP2,VA-0526-4-2,sample,526,4,0526-4,8,2,1637.985,1637.985,1624.165,1624.165,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.722,Plate1,E6,0.6519999999999999,13.819999999999936,-0.01067853419360254,-0.002669633548400635,-0.8497707509438355
45,12,HP2,VA-0526-4-3,sample,526,4,0526-4,8,3,1649.095,1649.095,1635.38,1635.38,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.67,Plate1,F6,0.6000000000000001,13.714999999999918,-0.010661067274093954,-0.0026652668185234885,-0.37705812340162026
48,7,HP2,VA-0526-3-1,sample,526,3,0526-3,8,1,1640.535,1640.535,1627.705,1627.705,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.809,Plate1,A7,0.7390000000000001,12.830000000000155,-0.010707757693549598,-0.0026769394233873995,-3.4083851327173815
49,8,HP2,VA-0526-3-2,sample,526,3,0526-3,8,2,1654.8,1654.8,1642.14,1642.14,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.896,Plate1,B7,0.8260000000000001,12.659999999999854,-0.010736981193496654,-0.0026842452983741635,-0.8544218154148553
50,9,HP2,VA-0526-3-3,sample,526,3,0526-3,8,3,1646.195,1646.195,1632.825,1632.825,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.825,Plate1,C7,0.7549999999999999,13.36999999999989,-0.010713132130321469,-0.0026782830325803673,-0.378899541008282
51,10,HP2,VA-0526-4-1,sample,526,4,0526-4,8,1,1650.125,1650.125,1636.775,1636.775,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.916,Plate1,D7,0.8460000000000001,13.349999999999909,-0.010743699239461495,-0.0026859248098653737,-3.4198256821058672
52,11,HP2,VA-0526-4-2,sample,526,4,0526-4,8,2,1637.985,1637.985,1624.165,1624.165,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.926,Plate1,E7,0.8560000000000001,13.819999999999936,-0.010747058262443916,-0.0026867645656109785,-0.8552237230822723
53,12,HP2,VA-0526-4-3,sample,526,4,0526-4,8,3,1649.095,1649.095,1635.38,1635.38,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.834,Plate1,F7,0.764,13.714999999999918,-0.010716155251005648,-0.002679038812751412,-0.3790064620306043
56,7,HP2,VA-0526-3-1,sample,526,3,0526-3,8,1,1640.535,1640.535,1627.705,1627.705,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.832,Plate1,A8,0.762,12.830000000000155,-0.010715483446409164,-0.002678870861602291,-3.4108443162307944
57,8,HP2,VA-0526-3-2,sample,526,3,0526-3,8,2,1654.8,1654.8,1642.14,1642.14,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.851,Plate1,B8,0.7809999999999999,12.659999999999854,-0.010721865590075763,-0.0026804663975189408,-0.8532189539137295
58,9,HP2,VA-0526-3-3,sample,526,3,0526-3,8,3,1646.195,1646.195,1632.825,1632.825,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.896,Plate1,C8,0.8260000000000001,13.36999999999989,-0.010736981193496654,-0.0026842452983741635,-0.379743029073269
59,10,HP2,VA-0526-4-1,sample,526,4,0526-4,8,1,1650.125,1650.125,1636.775,1636.775,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.907,Plate1,D8,0.837,13.349999999999909,-0.010740676118777317,-0.0026851690296943297,-3.418863392904967
60,11,HP2,VA-0526-4-2,sample,526,4,0526-4,8,2,1637.985,1637.985,1624.165,1624.165,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.927,Plate1,E8,0.857,13.819999999999936,-0.010747394164742158,-0.0026868485411855395,-0.8552504533378531
61,12,HP2,VA-0526-4-3,sample,526,4,0526-4,8,3,1649.095,1649.095,1635.38,1635.38,VA,,FBS,V2P1,07-26-2023,500,100,1000,20,0.85,Plate1,F8,0.78,13.714999999999918,-0.010721529687777521,-0.0026803824219443803,-0.37919654384806617
64,13,HP2,VA-0602-1-1,sample,602,1,0602-1,8,1,1646.415,1646.415,1634.67,1634.67,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.412,Plate1,A9,0.34199999999999997,11.74499999999989,-0.010574404481147508,-0.002643601120286877,-3.3659374868554295
65,14,HP2,VA-0602-1-2,sample,602,1,0602-1,8,2,1675.795,1675.795,1664.3,1664.3,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.474,Plate1,B9,0.40399999999999997,11.495000000000118,-0.010595230423638516,-0.0026488076059096293,-0.8431416475598532
66,15,HP2,VA-0602-1-3,sample,602,1,0602-1,8,3,1658.43,1658.43,1646.84,1646.84,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.511,Plate1,C9,0.441,11.590000000000146,-0.010607658808673471,-0.0026519147021683677,-0.375169185340593
67,16,HP2,VA-0602-2-1,sample,602,2,0602-2,8,1,1648.685,1648.685,1638.37,1638.37,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.453,Plate1,D9,0.383,10.315000000000055,-0.010588176475375433,-0.0026470441188438582,-3.370321248770644
68,17,HP2,VA-0602-2-2,sample,602,2,0602-2,8,2,1667.53,1667.53,1656.865,1656.865,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.495,Plate1,E9,0.425,10.664999999999964,-0.010602284371901598,-0.0026505710929753995,-0.843702982927045
69,18,HP2,VA-0602-2-3,sample,602,2,0602-2,8,3,1665.9,1665.9,1655.535,1655.535,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.182,Plate1,F9,0.11199999999999999,10.365000000000009,-0.01049714695255184,-0.00262428673813796,-0.3712606279690335
72,13,HP2,VA-0602-1-1,sample,602,1,0602-1,8,1,1646.415,1646.415,1634.67,1634.67,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.412,Plate1,A10,0.34199999999999997,11.74499999999989,-0.010574404481147508,-0.002643601120286877,-3.3659374868554295
73,14,HP2,VA-0602-1-2,sample,602,1,0602-1,8,2,1675.795,1675.795,1664.3,1664.3,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.479,Plate1,B10,0.409,11.495000000000118,-0.010596909935129725,-0.0026492274837824313,-0.8432752988377559
74,15,HP2,VA-0602-1-3,sample,602,1,0602-1,8,3,1658.43,1658.43,1646.84,1646.84,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.511,Plate1,C10,0.441,11.590000000000146,-0.010607658808673471,-0.0026519147021683677,-0.375169185340593
75,16,HP2,VA-0602-2-1,sample,602,2,0602-2,8,1,1648.685,1648.685,1638.37,1638.37,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.474,Plate1,D10,0.40399999999999997,10.315000000000055,-0.010595230423638516,-0.0026488076059096293,-3.372566590239413
76,17,HP2,VA-0602-2-2,sample,602,2,0602-2,8,2,1667.53,1667.53,1656.865,1656.865,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.467,Plate1,E10,0.397,10.664999999999964,-0.01059287910755082,-0.0026482197768877046,-0.8429545357707888
77,18,HP2,VA-0602-2-3,sample,602,2,0602-2,8,3,1665.9,1665.9,1655.535,1655.535,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.182,Plate1,F10,0.11199999999999999,10.365000000000009,-0.01049714695255184,-0.00262428673813796,-0.3712606279690335
80,13,HP2,VA-0602-1-1,sample,602,1,0602-1,8,1,1646.415,1646.415,1634.67,1634.67,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.399,Plate1,A11,0.329,11.74499999999989,-0.010570037751270363,-0.0026425094378175907,-3.36454751356524
81,14,HP2,VA-0602-1-2,sample,602,1,0602-1,8,2,1675.795,1675.795,1664.3,1664.3,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.432,Plate1,B11,0.362,11.495000000000118,-0.010581122527112349,-0.002645280631778087,-0.8420189768254689
