,ID,experiment_ID,sample_ID,sample_type,pilot_batch,tissue,hide_ID,hide_replicate,avg loaded weight mg,avg empty weight mg,net weight mg,operator,ug/well,media_type,scaffold_type,date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,mg/biopsy,x
0,1,HP1,SZ-0526-1-1,sample,526,1,0526-1,1,1638.775,1626.345,12.43,SZ,0.2169808644379111,HPL,V2P1,07-27-2023,500,100,1000,20,0.322,Plate1,A1,0.256,0.05424521610947777,12.43
1,2,HP1,SZ-0526-1-2,sample,526,1,0526-1,2,1643.075,1629.985,13.09,SZ,0.26077627258138447,HPL,V2P1,07-26-2023,500,100,1000,20,0.364,Plate1,B1,0.298,0.06519406814534612,13.09
2,3,HP1,SZ-0526-1-3,sample,526,1,0526-1,3,1669.05,1656.595,12.455,SZ,0.2753747419625423,HPL,V2P1,07-26-2023,500,100,1000,20,0.378,Plate1,C1,0.312,0.06884368549063558,12.455
3,4,HP1,SZ-0526-2-1,sample,526,2,0526-2,1,1635.98,1623.355,12.625,SZ,0.22219460350261028,HPL,V2P1,07-26-2023,500,100,1000,20,0.327,Plate1,D1,0.261,0.05554865087565256,12.625
4,5,HP1,SZ-0526-2-2,sample,526,2,0526-2,2,1670.185,1656.98,13.205,SZ,0.22636559475436968,HPL,V2P1,07-26-2023,500,100,1000,20,0.331,Plate1,E1,0.265,0.05659139868859243,13.205
5,6,HP1,SZ-0526-2-3,sample,526,2,0526-2,3,1642.74,1629.39,13.35,SZ,0.22636559475436968,HPL,V2P1,07-26-2023,500,100,1000,20,0.331,Plate1,F1,0.265,0.05659139868859243,13.35
8,1,HP1,SZ-0526-1-1,sample,526,1,0526-1,1,1638.775,1626.345,12.43,SZ,0.2732892463366626,HPL,V2P1,07-27-2023,500,100,1000,20,0.376,Plate1,A2,0.31,0.06832231158416564,12.43
9,2,HP1,SZ-0526-1-2,sample,526,1,0526-1,2,1643.075,1629.985,13.09,SZ,0.2805884810272415,HPL,V2P1,07-26-2023,500,100,1000,20,0.383,Plate1,B2,0.317,0.07014712025681037,13.09
10,3,HP1,SZ-0526-1-3,sample,526,1,0526-1,3,1669.05,1656.595,12.455,SZ,0.30874267197661726,HPL,V2P1,07-26-2023,500,100,1000,20,0.41,Plate1,C2,0.344,0.07718566799415431,12.455
11,4,HP1,SZ-0526-2-1,sample,526,2,0526-2,1,1635.98,1623.355,12.625,SZ,0.28580222009194073,HPL,V2P1,07-26-2023,500,100,1000,20,0.388,Plate1,D2,0.322,0.07145055502298518,12.625
12,5,HP1,SZ-0526-2-2,sample,526,2,0526-2,2,1670.185,1656.98,13.205,SZ,0.25034879445198605,HPL,V2P1,07-26-2023,500,100,1000,20,0.354,Plate1,E2,0.288,0.06258719861299651,13.205
13,6,HP1,SZ-0526-2-3,sample,526,2,0526-2,3,1642.74,1629.39,13.35,SZ,0.24304955976140713,HPL,V2P1,07-26-2023,500,100,1000,20,0.347,Plate1,F2,0.28099999999999997,0.06076238994035179,13.35
16,1,HP1,SZ-0526-1-1,sample,526,1,0526-1,1,1638.775,1626.345,12.43,SZ,0.317084654480136,HPL,V2P1,07-27-2023,500,100,1000,20,0.418,Plate1,A3,0.352,0.079271163620034,12.43
