"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
1,"HP3-20230905","DS-0803-1","BM0723PE1116","0.100788089","0.032159952",NULL,NULL,"0.20051153100000002","0.063980192","13.92583333","27.70456515",NULL,NULL
2,"HP3-20230905","DS-0803-2","BM0723PE1116","0.169937014","0.071907124",NULL,NULL,"0.338078947","0.14305467800000002","15.40166667","30.64064227",NULL,NULL
3,"HP3-20230905","DS-0803-3","BM0723PE1116","0.142862249","0.05516139",NULL,NULL,"0.284215414","0.10974009900000001","14.86333333","29.56966214",NULL,NULL
4,"HP21-20231027","20230921-1-Media_dig_D11",NULL,NULL,NULL,"0.006253066",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"HP21-20231027","20230921-1-Media_dig_D12",NULL,NULL,NULL,"0.00349817",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"HP21-20231027","20230921-1-Media_dig_D19",NULL,NULL,NULL,"0.00472869",NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"HP21-20231027","20230921-1-Media_dig_D25",NULL,NULL,NULL,"0.007281561",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"HP21-20231027","20230921-1-Media_dig_D28",NULL,NULL,NULL,"0.007042803",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"HP21-20231027","20230921-1-Media_dig_D9",NULL,NULL,NULL,"0.002873727",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"HP21-20231027","20230921-2-Media_dig_D11",NULL,NULL,NULL,"0.006675484000000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"HP21-20231027","20230921-2-Media_dig_D12",NULL,NULL,NULL,"0.005830649",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"HP21-20231027","20230921-2-Media_dig_D19",NULL,NULL,NULL,"0.007042803",NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"HP21-20231027","20230921-2-Media_dig_D25",NULL,NULL,NULL,"0.008916133",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"HP21-20231027","20230921-2-Media_dig_D28",NULL,NULL,NULL,"0.00783254",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"HP21-20231027","20230921-2-Media_dig_D9",NULL,NULL,NULL,"0.006124505",NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"HP21-20231027","20230921-3-Media_dig_D11",NULL,NULL,NULL,"0.006932608000000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"HP21-20231027","20230921-3-Media_dig_D12",NULL,NULL,NULL,"0.006161237",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"HP21-20231027","20230921-3-Media_dig_D19",NULL,NULL,NULL,"0.008677375",NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"HP21-20231027","20230921-3-Media_dig_D25",NULL,NULL,NULL,"0.008952865",NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"HP21-20231027","20230921-3-Media_dig_D28",NULL,NULL,NULL,"0.009246721",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"HP21-20231027","20230921-3-Media_dig_D9",NULL,NULL,NULL,"0.005867381",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"HP21-20231027","20230928-1-_media_D12",NULL,NULL,NULL,"0.004941931",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"HP21-20231027","20230928-1-_media_D14",NULL,NULL,NULL,"0.005769535",NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"HP21-20231027","20230928-1-_media_D18",NULL,NULL,NULL,"0.0062273580000000005",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"HP21-20231027","20230928-1-_media_D21",NULL,NULL,NULL,"0.0061657280000000005",NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"HP21-20231027","20230928-1-_media_D25",NULL,NULL,NULL,"0.006016055",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"HP21-20231027","20230928-1-_media_D28",NULL,NULL,NULL,"0.006605943",NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"HP21-20231027","20230928-1-_media_D5",NULL,NULL,NULL,"0.00237988",NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"HP21-20231027","20230928-1-_media_dig_D11",NULL,NULL,NULL,"0.006501137",NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"HP21-20231027","20230928-1-_media_dig_D12",NULL,NULL,NULL,"0.006805286",NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"HP21-20231027","20230928-1-_media_dig_D14",NULL,NULL,NULL,"0.007252564",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"HP21-20231027","20230928-1-_media_dig_D18",NULL,NULL,NULL,"0.008218686",NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"HP21-20231027","20230928-1-_media_dig_D21",NULL,NULL,NULL,"0.007252564",NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"HP21-20231027","20230928-1-_media_dig_D25",NULL,NULL,NULL,"0.007878754",NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"HP21-20231027","20230928-1-_media_dig_D28",NULL,NULL,NULL,"0.007324129",NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"HP21-20231027","20230928-1-_media_dig_D5",NULL,NULL,NULL,"0.005230866",NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"HP21-20231027","20230928-1-_media_dig_D9",NULL,NULL,NULL,"0.006411681",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"HP21-20231027","20230928-2-_media_D12",NULL,NULL,NULL,"0.005892795",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"HP21-20231027","20230928-2-_media_D14",NULL,NULL,NULL,"0.006958115",NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"HP21-20231027","20230928-2-_media_D18",NULL,NULL,NULL,"0.006914094",NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"HP21-20231027","20230928-2-_media_D21",NULL,NULL,NULL,"0.006852464",NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"HP21-20231027","20230928-2-_media_D25",NULL,NULL,NULL,"0.006288989",NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"HP21-20231027","20230928-2-_media_D28",NULL,NULL,NULL,"0.006526705",NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"HP21-20231027","20230928-2-_media_D5",NULL,NULL,NULL,"0.00326031",NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"HP21-20231027","20230928-2-_media_dig_D11",NULL,NULL,NULL,"0.006697939",NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"HP21-20231027","20230928-2-_media_dig_D12",NULL,NULL,NULL,"0.007753515999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"HP21-20231027","20230928-2-_media_dig_D14",NULL,NULL,NULL,"0.008272359",NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"HP21-20231027","20230928-2-_media_dig_D18",NULL,NULL,NULL,"0.008451271",NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"HP21-20231027","20230928-2-_media_dig_D21",NULL,NULL,NULL,"0.008397597",NULL,NULL,NULL,NULL,NULL,NULL,NULL
