,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_ID,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/biopsy,mg/cm2
0,4,HP1,S0,standard,,,,,,,,,,DS,0,,,07-26-2023,500,100,1000,20,0.083,Plate1,E7,,0.017,0.9971046300288047,,,,
1,4,HP1,S0,standard,,,,,,,,,,DS,0,,,07-26-2023,500,100,1000,20,0.106,Plate1,F7,,0.039999999999999994,0.9971046300288047,,,,
2,5,HP1,S1,standard,,,,,,,,,,DS,0.2,,,07-26-2023,500,100,1000,20,0.288,Plate1,E8,,0.22199999999999998,0.9971046300288047,,,,
3,5,HP1,S1,standard,,,,,,,,,,DS,0.2,,,07-26-2023,500,100,1000,20,0.312,Plate1,F8,,0.246,0.9971046300288047,,,,
4,6,HP1,S2,standard,,,,,,,,,,DS,0.4,,,07-26-2023,500,100,1000,20,0.557,Plate1,E9,,0.49100000000000005,0.9971046300288047,,,,
5,6,HP1,S2,standard,,,,,,,,,,DS,0.4,,,07-26-2023,500,100,1000,20,0.529,Plate1,F9,,0.463,0.9971046300288047,,,,
6,7,HP1,S3,standard,,,,,,,,,,DS,0.6,,,07-26-2023,500,100,1000,20,0.743,Plate1,E10,,0.677,0.9971046300288047,,,,
7,7,HP1,S3,standard,,,,,,,,,,DS,0.6,,,07-26-2023,500,100,1000,20,0.735,Plate1,F10,,0.669,0.9971046300288047,,,,
8,8,HP1,S4,standard,,,,,,,,,,DS,0.8,,,07-26-2023,500,100,1000,20,0.966,Plate1,E11,,0.8999999999999999,0.9971046300288047,,,,
9,8,HP1,S4,standard,,,,,,,,,,DS,0.8,,,07-26-2023,500,100,1000,20,0.944,Plate1,F11,,0.8779999999999999,0.9971046300288047,,,,
10,9,HP1,S5,standard,,,,,,,,,,DS,1,,,07-26-2023,500,100,1000,20,1.12,Plate1,E12,,1.054,0.9971046300288047,,,,
11,9,HP1,S5,standard,,,,,,,,,,DS,1,,,07-26-2023,500,100,1000,20,1.129,Plate1,F12,,1.063,0.9971046300288047,,,,
4,17,HP1,DS-0727-3-1,sample,727,230727-3,07-27-2023,1,8,1675.58,1675.57,1657.44,1657.58,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.633,Plate1,E1,,0.567,,18.064999999999827,0.5066828240830819,0.12667070602077046,0.2520033626018241
5,17,HP1,DS-0727-3-1,sample,727,230727-3,07-27-2023,1,8,1675.58,1675.57,1657.44,1657.58,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.667,Plate1,F1,,0.601,,18.064999999999827,0.5391422553437653,0.13478556383594134,0.26814735927397837
6,17,HP1,DS-0727-3-1,sample,727,230727-3,07-27-2023,1,8,1675.58,1675.57,1657.44,1657.58,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.628,Plate1,G1,,0.562,,18.064999999999827,0.5019093783094521,0.12547734457736304,0.24962924544415444
7,17,HP1,DS-0727-3-1,sample,727,230727-3,07-27-2023,1,8,1675.58,1675.57,1657.44,1657.58,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.621,Plate1,H1,,0.5549999999999999,,18.064999999999827,0.4952265542263702,0.12380663855659255,0.24630548142341677
12,18,HP1,DS-0727-3-2,sample,727,230727-3,07-27-2023,2,8,1658.65,1658.52,1640.88,1641.12,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.627,Plate1,E2,,0.5609999999999999,,17.585000000000036,0.5009546891547261,0.12523867228868152,0.24915442201262045
13,18,HP1,DS-0727-3-2,sample,727,230727-3,07-27-2023,2,8,1658.65,1658.52,1640.88,1641.12,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.646,Plate1,F2,,0.5800000000000001,,17.585000000000036,0.5190937830945197,0.12977344577362993,0.25817606721176545
14,18,HP1,DS-0727-3-2,sample,727,230727-3,07-27-2023,2,8,1658.65,1658.52,1640.88,1641.12,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.597,Plate1,G2,,0.5309999999999999,,17.585000000000036,0.47231401451294663,0.11807850362823666,0.23490971906660202
15,18,HP1,DS-0727-3-2,sample,727,230727-3,07-27-2023,2,8,1658.65,1658.52,1640.88,1641.12,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.582,Plate1,H2,,0.516,,17.585000000000036,0.457993677192057,0.11449841929801424,0.22778736759359283
20,19,HP1,DS-0727-3-3,sample,727,230727-3,07-27-2023,3,8,1674.79,1674.76,1656.47,1656.87,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.622,Plate1,E3,,0.556,,18.105000000000018,0.49618124338109626,0.12404531084527406,0.24678030485495075
21,19,HP1,DS-0727-3-3,sample,727,230727-3,07-27-2023,3,8,1674.79,1674.76,1656.47,1656.87,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.628,Plate1,F3,,0.562,,18.105000000000018,0.5019093783094521,0.12547734457736304,0.24962924544415444
22,19,HP1,DS-0727-3-3,sample,727,230727-3,07-27-2023,3,8,1674.79,1674.76,1656.47,1656.87,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.586,Plate1,G3,,0.52,,18.105000000000018,0.46181243381096093,0.11545310845274023,0.22968666131972865
23,19,HP1,DS-0727-3-3,sample,727,230727-3,07-27-2023,3,8,1674.79,1674.76,1656.47,1656.87,DS,,FBS,PET,08-30-2023,500,100,1000,20,0.601,Plate1,H3,,0.5349999999999999,,18.105000000000018,0.4761327711318505,0.11903319278296262,0.23680901279273778
48,11,HP1,DS-0727-1-1,sample,727,230727-1,07-27-2023,1,8,1685.84,1685.96,1667.6,1667.59,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.832,Plate1,A7,,0.766,,18.30500000000029,0.6966659658735518,0.17416649146838795,0.34649322547707945
49,11,HP1,DS-0727-1-1,sample,727,230727-1,07-27-2023,1,8,1685.84,1685.96,1667.6,1667.59,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.818,Plate1,B7,,0.752,,18.30500000000029,0.6833003177073881,0.17082507942684702,0.3398456974356042
50,11,HP1,DS-0727-1-1,sample,727,230727-1,07-27-2023,1,8,1685.84,1685.96,1667.6,1667.59,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.786,Plate1,C7,,0.72,,18.30500000000029,0.6527502647561567,0.16318756618903918,0.3246513476265179
51,11,HP1,DS-0727-1-1,sample,727,230727-1,07-27-2023,1,8,1685.84,1685.96,1667.6,1667.59,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.801,Plate1,D7,,0.7350000000000001,,18.30500000000029,0.6670706020770466,0.16676765051926165,0.3317736990995272
56,12,HP1,DS-0727-1-2,sample,727,230727-1,07-27-2023,2,8,1661.87,1662.41,1646.22,1646.5,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.741,Plate1,A8,,0.675,,15.779999999999745,0.6097892527934877,0.15244731319837196,0.3032842932074904
57,12,HP1,DS-0727-1-2,sample,727,230727-1,07-27-2023,2,8,1661.87,1662.41,1646.22,1646.5,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.76,Plate1,B8,,0.694,,15.779999999999745,0.6279283467332812,0.1569820866833203,0.3123059384066353
58,12,HP1,DS-0727-1-2,sample,727,230727-1,07-27-2023,2,8,1661.87,1662.41,1646.22,1646.5,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.776,Plate1,C8,,0.71,,15.779999999999745,0.643203373208897,0.16080084330222427,0.31990311331117854
59,12,HP1,DS-0727-1-2,sample,727,230727-1,07-27-2023,2,8,1661.87,1662.41,1646.22,1646.5,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.735,Plate1,D8,,0.669,,15.779999999999745,0.6040611178651318,0.151015279466283,0.30043535261828674
64,13,HP1,DS-0727-1-3,sample,727,230727-1,07-27-2023,3,8,1677.16,1677.6,1661.76,1661.77,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.83,Plate1,A9,,0.764,,15.615000000000236,0.6947565875640999,0.17368914689102496,0.3455435786140116
65,13,HP1,DS-0727-1-3,sample,727,230727-1,07-27-2023,3,8,1677.16,1677.6,1661.76,1661.77,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.753,Plate1,B9,,0.687,,15.615000000000236,0.6212455226501995,0.15531138066254987,0.3089821743858977
66,13,HP1,DS-0727-1-3,sample,727,230727-1,07-27-2023,3,8,1677.16,1677.6,1661.76,1661.77,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.82,Plate1,C9,,0.754,,15.615000000000236,0.6852096960168401,0.17130242400421003,0.34079534429867214
67,13,HP1,DS-0727-1-3,sample,727,230727-1,07-27-2023,3,8,1677.16,1677.6,1661.76,1661.77,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.778,Plate1,D9,,0.712,,15.615000000000236,0.6451127515183489,0.16127818787958725,0.3208527601742464
72,14,HP1,DS-0727-2-1,sample,727,230727-2,07-27-2023,1,8,1694.14,1694.1,1677.89,1678.05,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.681,Plate1,A10,,0.615,,16.149999999999864,0.552507903509929,0.13812697587748224,0.27479488731545354
73,14,HP1,DS-0727-2-1,sample,727,230727-2,07-27-2023,1,8,1694.14,1694.1,1677.89,1678.05,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.647,Plate1,B10,,0.581,,16.149999999999864,0.5200484722492457,0.13001211806231142,0.2586508906432994
74,14,HP1,DS-0727-2-1,sample,727,230727-2,07-27-2023,1,8,1694.14,1694.1,1677.89,1678.05,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.612,Plate1,C10,,0.546,,16.149999999999864,0.4866343518338364,0.1216585879584591,0.24203207053961126
75,14,HP1,DS-0727-2-1,sample,727,230727-2,07-27-2023,1,8,1694.14,1694.1,1677.89,1678.05,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.6,Plate1,D10,,0.534,,16.149999999999864,0.47517808197712463,0.11879452049428116,0.2363341893612039
80,15,HP1,DS-0727-2-2,sample,727,230727-2,07-27-2023,2,8,1658.41,1658.57,1643.3,1643.23,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.721,Plate1,A11,,0.655,,15.225000000000136,0.5906954696989681,0.14767386742474203,0.2937878245768114
81,15,HP1,DS-0727-2-2,sample,727,230727-2,07-27-2023,2,8,1658.41,1658.57,1643.3,1643.23,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.642,Plate1,B11,,0.5760000000000001,,15.225000000000136,0.5152750264756158,0.12881875661890396,0.25627677348562966
82,15,HP1,DS-0727-2-2,sample,727,230727-2,07-27-2023,2,8,1658.41,1658.57,1643.3,1643.23,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.662,Plate1,C11,,0.5960000000000001,,15.225000000000136,0.5343688095701354,0.13359220239253386,0.2657732421163086
83,15,HP1,DS-0727-2-2,sample,727,230727-2,07-27-2023,2,8,1658.41,1658.57,1643.3,1643.23,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.666,Plate1,D11,,0.6000000000000001,,15.225000000000136,0.5381875661890394,0.13454689154725985,0.26767253584244444
88,16,HP1,DS-0727-2-3,sample,727,230727-2,07-27-2023,3,8,1680.97,1681.09,1667.15,1667.25,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.777,Plate1,A12,,0.7110000000000001,,13.829999999999927,0.644158062363623,0.16103951559090576,0.3203779367427125
89,16,HP1,DS-0727-2-3,sample,727,230727-2,07-27-2023,3,8,1680.97,1681.09,1667.15,1667.25,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.742,Plate1,B12,,0.6759999999999999,,13.829999999999927,0.6107439419482136,0.1526859854870534,0.3037591166390242
90,16,HP1,DS-0727-2-3,sample,727,230727-2,07-27-2023,3,8,1680.97,1681.09,1667.15,1667.25,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.768,Plate1,C12,,0.702,,13.829999999999927,0.6355658599710892,0.1588914649927723,0.3161045258589069
91,16,HP1,DS-0727-2-3,sample,727,230727-2,07-27-2023,3,8,1680.97,1681.09,1667.15,1667.25,DS,,HPL,PET,08-30-2023,500,100,1000,20,0.802,Plate1,D12,,0.736,,13.829999999999927,0.6680252912317725,0.16700632280794311,0.3322485225310611
0,1,HP1,G5,control,,,,,,,,,,DS,1.05,,,07-26-2023,500,100,1000,20,1.378,Plate1,A1,,1.3119999999999998,0.9997867646222607,,1.2179262443539363,,
1,1,HP1,G5,control,,,,,,,,,,DS,1.05,,,07-26-2023,500,100,1000,20,1.387,Plate1,B1,,1.321,0.9997867646222607,,1.2265184467464703,,
2,1,HP1,G5,control,,,,,,,,,,DS,1.05,,,07-26-2023,500,100,1000,20,1.219,Plate1,C1,,1.153,0.9997867646222607,,1.0661306687525058,,
