,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_ID,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,data check,normalized_abs,net weight mg,ug/well,mg/biopsy,mg/cm2
4,17,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,1,8,1648.28,1648.32,1632.39,1632.37,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.697,Plate1,E1,,0.6319999999999999,15.919999999999845,0.5786979064079263,0.1446744766019816,0.28782072613047655
5,17,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,1,8,1648.28,1648.32,1632.39,1632.37,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.675,Plate1,F1,,0.6100000000000001,15.919999999999845,0.5576480104690282,0.13941200261725706,0.2773513667859589
6,17,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,1,8,1648.28,1648.32,1632.39,1632.37,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.653,Plate1,G1,,0.5880000000000001,15.919999999999845,0.53659811453013,0.1341495286325325,0.26688200744144114
7,17,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,1,8,1648.28,1648.32,1632.39,1632.37,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.649,Plate1,H1,,0.5840000000000001,15.919999999999845,0.5327708607230576,0.1331927151807644,0.26497848756061976
12,18,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,2,8,1683.72,1683.75,1666.64,1666.55,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.688,Plate1,E2,,0.623,17.1400000000001,0.5700865853420134,0.14252164633550335,0.28353780639862836
13,18,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,2,8,1683.72,1683.75,1666.64,1666.55,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.69,Plate1,F2,,0.625,17.1400000000001,0.5720002122455496,0.1430000530613874,0.28448956633903905
14,18,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,2,8,1683.72,1683.75,1666.64,1666.55,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.624,Plate1,G2,,0.5589999999999999,17.1400000000001,0.5088505244288548,0.1272126311072137,0.2530814883054859
15,18,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,2,8,1683.72,1683.75,1666.64,1666.55,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.636,Plate1,H2,,0.571,17.1400000000001,0.5203322858500721,0.13008307146251802,0.25879204794795013
20,19,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,3,8,1654.74,1655.17,1639.89,1640.06,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.631,Plate1,E3,,0.5660000000000001,14.980000000000018,0.5155482185912317,0.12888705464780792,0.25641264809692343
21,19,HP1,GU-0727-1-3,sample,727,20230727-3,07-27-2023,3,8,1654.74,1655.17,1639.89,1640.06,GU,,FBS,PET,08-30-2023,500,100,1000,20,0.613,Plate1,F3,,0.548,14.980000000000018,0.4983255764594058,0.12458139411485145,0.24784680863322706
