,experiment_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP16-20231023,230928-1-1,,,,0.47216038559467344,,,,,
1,HP16-20231023,230928-1-2,,,,0.4693968274040696,,,,,
2,HP16-20231023,230928-1-3,,,,0.3855688956224209,,,,,
3,HP16-20231023,230928-1-4,,,,0.39662312838483615,,,,,
4,HP16-20231023,230928-2-1,,,,0.38833245381302484,,,,,
5,HP16-20231023,230928-2-2,,,,0.38096296530474794,,,,,
6,HP16-20231023,230928-2-3,,,,0.36253924403405596,,,,,
7,HP16-20231023,230928-2-4,,,,0.3781994071141441,,,,,
8,HP16-20231023,230928-3-1,,,,0.3662239882881942,,,,,
9,HP16-20231023,230928-3-2,,,,0.4279434545450127,,,,,
10,HP16-20231023,230928-3-3,,,,0.3874112677494902,,,,,
11,HP16-20231023,230928-3-4,,,,0.37451466286000573,,,,,
12,HP16-20231023,TGFBS231012,,,,0.14237577484928626,,,,,
