,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,21,HP15-20231023,S5,standard,,,,,,,,1,,,,,,DS,1,HPL,,12-30-1899,0.668,Plate1,A11,,0.668,0.957033809678127,,,,,
1,20,HP15-20231023,S4,standard,,,,,,,,1,,,,,,DS,0.8,HPL,,12-30-1899,0.512,Plate1,B11,,0.512,0.957033809678127,,,,,
2,19,HP15-20231023,S3,standard,,,,,,,,1,,,,,,DS,0.6,HPL,,12-30-1899,0.411,Plate1,C11,,0.411,0.957033809678127,,,,,
3,18,HP15-20231023,S2,standard,,,,,,,,1,,,,,,DS,0.4,HPL,,12-30-1899,0.28,Plate1,D11,,0.28,0.957033809678127,,,,,
4,17,HP15-20231023,S1,standard,,,,,,,,1,,,,,,DS,0.2,HPL,,12-30-1899,0.211,Plate1,E11,,0.211,0.957033809678127,,,,,
5,16,HP15-20231023,S0,standard,,,,,,,,1,,,,,,DS,0,HPL,,12-30-1899,0.14,Plate1,F11,,0.14,0.957033809678127,,,,,
6,21,HP15-20231023,S5,standard,,,,,,,,1,,,,,,DS,1,HPL,,12-30-1899,0.6,Plate1,A12,,0.6,0.957033809678127,,,,,
7,20,HP15-20231023,S4,standard,,,,,,,,1,,,,,,DS,0.8,HPL,,12-30-1899,0.425,Plate1,B12,,0.425,0.957033809678127,,,,,
8,19,HP15-20231023,S3,standard,,,,,,,,1,,,,,,DS,0.6,HPL,,12-30-1899,0.39,Plate1,C12,,0.39,0.957033809678127,,,,,
9,18,HP15-20231023,S2,standard,,,,,,,,1,,,,,,DS,0.4,HPL,,12-30-1899,0.284,Plate1,D12,,0.284,0.957033809678127,,,,,
10,17,HP15-20231023,S1,standard,,,,,,,,1,,,,,,DS,0.2,HPL,,12-30-1899,0.217,Plate1,E12,,0.217,0.957033809678127,,,,,
11,16,HP15-20231023,S0,standard,,,,,,,,1,,,,,,DS,0,HPL,,12-30-1899,0.149,Plate1,F12,,0.149,0.957033809678127,,,,,
12,1,HP15-20231023,a4d1,sample,liquid,a,a4d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.104,Plate1,A1,,0.104,,,-0.009560500407538808,-0.00019121000815077615,,
13,1,HP15-20231023,a4d1,sample,liquid,a,a4d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.104,Plate1,B1,,0.104,,,-0.009560500407538808,-0.00019121000815077615,,
14,1,HP15-20231023,a4d1,sample,liquid,a,a4d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.106,Plate1,C1,,0.106,,,-0.0055363306116253674,-0.00011072661223250735,,
15,1,HP15-20231023,a4d1,sample,liquid,a,a4d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.103,Plate1,D1,,0.103,,,-0.011572585305495514,-0.0002314517061099103,,
16,3,HP15-20231023,a4d3,sample,liquid,a,a4d3,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.108,Plate1,E1,,0.108,,,-0.001512160815711927,-3.024321631423854e-05,,
17,3,HP15-20231023,a4d3,sample,liquid,a,a4d3,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.108,Plate1,F1,,0.108,,,-0.001512160815711927,-3.024321631423854e-05,,
18,3,HP15-20231023,a4d3,sample,liquid,a,a4d3,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.125,Plate1,G1,,0.125,,,0.032693282449552274,0.0006538656489910455,,
19,3,HP15-20231023,a4d3,sample,liquid,a,a4d3,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.114,Plate1,H1,,0.114,,,0.010560348572028394,0.00021120697144056788,,
20,5,HP15-20231023,a5d1,sample,liquid,a,a5d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.109,Plate1,A2,,0.109,,,0.0004999240822447792,9.998481644895586e-06,,
21,5,HP15-20231023,a5d1,sample,liquid,a,a5d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.106,Plate1,B2,,0.106,,,-0.0055363306116253674,-0.00011072661223250735,,
22,5,HP15-20231023,a5d1,sample,liquid,a,a5d1,09-25-2023,,,,1,50,,,,,DS,,HPL,,10-07-2023,0.109,Plate1,C2,,0.109,,,0.0004999240822447792,9.998481644895586e-06,,
