,HP_sid,experiment_ID,biomaterial_id,sample_ID,biopsy_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP16-11,HP16-20231023,,230928-2,230928-2-1,,,0.007471869535929425,,,,,
1,HP16-12,HP16-20231023,,230928-2,230928-2-2,,,0.00761925930609496,,,,,
2,HP16-13,HP16-20231023,,230928-2,230928-2-3,,,0.007250784880681118,,,,,
3,HP16-14,HP16-20231023,,230928-2,230928-2-4,,,0.007563988142282884,,,,,
4,HP16-15,HP16-20231023,,230928-3,230928-3-1,,,0.00732447976576389,,,,,
5,HP16-16,HP16-20231023,,230928-3,230928-3-2,,,0.008558869090900255,,,,,
6,HP16-17,HP16-20231023,,230928-3,230928-3-3,,,0.007748225354989802,,,,,
7,HP16-18,HP16-20231023,,230928-3,230928-3-4,,,0.007490293257200116,,,,,
8,HP16-19,HP16-20231023,,TGFBS231012,TGFBS231012,,,0.002792244333173651,,,,,
9,HP16-20,HP16-20231023,,TGFBS231012,TGFBS231012,,,0.0028106680544443424,,,,,
10,HP16-21,HP16-20231023,,TGFBS231012,TGFBS231012,,,0.0029580578246098796,,,,,
11,HP16-7,HP16-20231023,,230928-1,230928-1-1,,,0.00944320771189347,,,,,
12,HP16-8,HP16-20231023,,230928-1,230928-1-2,,,0.009387936548081394,,,,,
13,HP16-9,HP16-20231023,,230928-1,230928-1-3,,,0.007711377912448421,,,,,
