,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
0,HP16-10,HP16-20231023,230928-1,sample,liquid,,230928-1-4,09-28-2023,4,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.316,Plate1,A10,,0.316,,,0.20522045966892744,0.008208818386757098,,,,,,,0.007932462567696717,0.007932462567696717
1,HP16-10,HP16-20231023,230928-1,sample,liquid,,230928-1-4,09-28-2023,4,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.314,Plate1,B10,,0.314,,,0.2033780875418582,0.008135123501674328,,,,,,,0.007932462567696717,0.007932462567696717
2,HP16-10,HP16-20231023,230928-1,sample,liquid,,230928-1-4,09-28-2023,4,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.303,Plate1,C10,,0.303,,,0.1932450408429776,0.007729801633719105,,,,,,,0.007932462567696717,0.007932462567696717
3,HP16-10,HP16-20231023,230928-1,sample,liquid,,230928-1-4,09-28-2023,4,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.303,Plate1,D10,,0.303,,,0.1932450408429776,0.007729801633719105,,,,,,,0.007932462567696717,0.007932462567696717
4,HP16-11,HP16-20231023,230928-2,sample,liquid,,230928-2-1,09-28-2023,1,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.305,Plate1,A11,,0.305,,,0.19508741297004678,0.007803496518801871,,,,,,,0.007766649076260489,0.007766649076260489
5,HP16-11,HP16-20231023,230928-2,sample,liquid,,230928-2-1,09-28-2023,1,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.304,Plate1,B11,,0.304,,,0.1941662269065122,0.007766649076260488,,,,,,,0.007766649076260489,0.007766649076260489
6,HP16-11,HP16-20231023,230928-2,sample,liquid,,230928-2-1,09-28-2023,1,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.288,Plate1,C11,,0.288,,,0.17942724988995856,0.007177089995598343,,,,,,,0.007766649076260489,0.007766649076260489
7,HP16-11,HP16-20231023,230928-2,sample,liquid,,230928-2-1,09-28-2023,1,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.304,Plate1,D11,,0.304,,,0.1941662269065122,0.007766649076260488,,,,,,,0.007766649076260489,0.007766649076260489
8,HP16-12,HP16-20231023,230928-2,sample,liquid,,230928-2-2,09-28-2023,2,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.307,Plate1,A12,,0.307,,,0.196929785097116,0.00787719140388464,,,,,,,0.007619259306094951,0.007619259306094951
9,HP16-12,HP16-20231023,230928-2,sample,liquid,,230928-2-2,09-28-2023,2,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.293,Plate1,B12,,0.293,,,0.18403318020763154,0.007361327208305262,,,,,,,0.007619259306094951,0.007619259306094951
