,HP_sid,experiment_ID,sample_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP71-13,HP71-20240123,A1-1,A1-1,PET723-30050,0.10384812094739759,,0.129810151184247,,0.20659927224479158,,5.779999999999973,11.498944638389384
1,HP71-14,HP71-20240123,A1-2,A1-2,PET723-30050,0.16068412493117007,,0.2008551561639626,,0.31967090948989213,,8.934999999999945,17.77561770657595
2,HP71-15,HP71-20240123,A1-3,A1-3,PET723-30050,0.1883969654136251,,0.2354962067670314,,0.37480385386364085,,9.315000000000055,18.53160368626267
3,HP71-16,HP71-20240123,A1-4,A1-4,PET723-30050,0.16072249186790696,,0.20090311483488374,,0.31974723808530425,,9.304999999999836,18.51170931837575
4,HP71-17,HP71-20240123,A2-1,A2-1,PET723-30050,-0.0010180240034066378,,-0.001272530004258297,,-0.002025294404104586,,4.555000000000291,9.06188457229537
5,HP71-18,HP71-20240123,A2-2,A2-2,PET723-30050,0.17520775338124522,,0.21900969172655654,,0.3485647502331365,,9.58000000000493,19.05880443526427
6,HP71-19,HP71-20240123,A2-3,A2-3,PET723-30050,0.21141488227981847,,0.26426860284977305,,0.42059654447530326,,8.605000000000018,17.11910356632203
7,HP71-20,HP71-20240123,A2-4,A2-4,PET723-30050,0.18037098031865323,,0.22546372539831647,,0.3588366638505577,,8.359999999999673,16.63169155310241
8,HP71-21,HP71-20240123,A3-1,A3-1,PET723-30050,0.05294388308759715,,0.06617985385949643,,0.10532850874838103,,7.4050000000002,14.73177941994396
9,HP71-22,HP71-20240123,A3-2,A3-2,PET723-30050,0.19476151603113154,,0.24345189503891448,,0.387465725005325,,9.6850000000004,19.267695298063373
10,HP71-23,HP71-20240123,A3-3,A3-3,PET723-30050,0.1965029897016157,,0.24562873712701971,,0.39093027679184933,,8.63000000000011,17.168839486038426
11,HP71-24,HP71-20240123,A3-4,A3-4,PET723-30050,0.17668122718488863,,0.2208515339811107,,0.35149613322521467,,7.9450000000006185,15.806075285815085
12,HP71-25,HP71-20240123,A4-1,A4-1,PET723-30050,0.1769978687586382,,0.2212473359482978,,0.35212607162084786,,9.134999999994761,18.173505064295377
13,HP71-26,HP71-20240123,A4-2,A4-2,PET723-30050,0.20263739648622497,,0.25329674560778115,,0.403134291325687,,9.519999999999982,18.939438227935508
14,HP71-27,HP71-20240123,A4-3,A4-3,PET723-30050,0.22529105467410226,,0.2816138183426278,,0.4482023123221228,,8.590000000004693,17.089262014501596
15,HP71-28,HP71-20240123,A4-4,A4-4,PET723-30050,0.1417113186248112,,0.177139148281014,,0.28192571064011585,,8.170000000000073,16.253698563259956
16,HP71-29,HP71-20240123,A5-1,A5-1,PET723-30050,0.20535395553822444,,0.2566924444227805,,0.4085387138422715,,9.159999999999854,18.223240984021725
17,HP71-30,HP71-20240123,A5-2,A5-2,PET723-30050,0.1905850684540493,,0.2382313355675616,,0.3791569465496148,,8.11999999999989,16.154226723827158
18,HP71-31,HP71-20240123,A5-3,A5-3,PET723-30050,0.2080920713008524,,0.2601150891260655,,0.4139860220720224,,9.13000000000011,18.16355788036277
19,HP71-32,HP71-20240123,A5-4,A5-4,PET723-30050,0.12513197897844797,,0.15641497372306,,0.2489421624161392,,8.860000000004675,17.62640994743671
20,HP71-33,HP71-20240123,A6-1,A6-1,PET723-30050,0.15863265748115937,,0.19829082185144922,,0.31558964467412554,,8.054999999994834,16.024913332554934
21,HP71-34,HP71-20240123,A6-2,A6-2,PET723-30050,0.16023439526276229,,0.20029299407845272,,0.3187762007426148,,7.494999999995343,14.91082873091268
22,HP71-35,HP71-20240123,A6-3,A6-3,PET723-30050,0.20605803433225775,,0.25757254291532217,,0.40993943409722855,,8.75500000000011,17.417519084619514
