,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
0,HP71-13,HP71-20240123,A1-1,sample,hide,,A1-1,1/17/24,1.0,8.0,800.0,4.0,20.0,1853.01,1853.57,1847.59,1847.43,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.025,Plate1,A7,o,1.025,,5.78,0.703147858,0.14062957199999998,0.11250365699999999,0.223818915,0.10402970562466203,,0.20696052348199637,,0.13003713203082753,
1,HP71-13,HP71-20240123,A1-1,sample,hide,,A1-1,1/17/24,1.0,8.0,800.0,4.0,20.0,1853.01,1853.57,1847.59,1847.43,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.9520000000000001,Plate1,B7,o,0.9520000000000001,,5.78,0.647915852,0.12958317,0.10366653599999999,0.20623802100000002,0.10402970562466203,,0.20696052348199637,,0.13003713203082753,
2,HP71-13,HP71-20240123,A1-1,sample,hide,,A1-1,1/17/24,1.0,8.0,800.0,4.0,20.0,1853.01,1853.57,1847.59,1847.43,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.8959999999999999,Plate1,C7,o,0.8959999999999999,,5.78,0.605546094,0.121109219,0.096887375,0.192751308,0.10402970562466203,,0.20696052348199637,,0.13003713203082753,
3,HP71-13,HP71-20240123,A1-1,sample,hide,,A1-1,1/17/24,1.0,8.0,800.0,4.0,20.0,1853.01,1853.57,1847.59,1847.43,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.955,Plate1,D7,,0.955,,5.779999999999973,0.6501856601541377,0.13003713203082753,0.10402970562466203,0.20696052348199637,0.10402970562466203,,0.20696052348199637,,0.13003713203082753,
4,HP71-14,HP71-20240123,A1-2,sample,hide,,A1-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2206.34,2206.48,2197.48,2197.47,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.423,Plate1,E1,,1.423,,8.934999999999945,1.0042757808198126,0.20085515616396252,0.16068412493117,0.319670909489892,0.16068412493117,0.16068412493117,0.319670909489892,0.319670909489892,0.2008551561639625,0.2008551561639625
5,HP71-14,HP71-20240123,A1-2,sample,hide,,A1-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2206.34,2206.48,2197.48,2197.47,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.423,Plate1,F1,,1.423,,8.934999999999945,1.0042757808198126,0.20085515616396252,0.16068412493117,0.319670909489892,0.16068412493117,0.16068412493117,0.319670909489892,0.319670909489892,0.2008551561639625,0.2008551561639625
6,HP71-14,HP71-20240123,A1-2,sample,hide,,A1-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2206.34,2206.48,2197.48,2197.47,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.4480000000000002,Plate1,G1,,1.4480000000000002,,8.934999999999945,1.0231908513681929,0.20463817027363856,0.16371053621891085,0.3256917634433053,0.16068412493117,0.16068412493117,0.319670909489892,0.319670909489892,0.2008551561639625,0.2008551561639625
7,HP71-14,HP71-20240123,A1-2,sample,hide,,A1-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2206.34,2206.48,2197.48,2197.47,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.3630000000000002,Plate1,H1,,1.3630000000000002,,8.934999999999945,0.9588796115037006,0.19177592230074011,0.1534207378405921,0.30522086000170034,0.16068412493117,0.16068412493117,0.319670909489892,0.319670909489892,0.2008551561639625,0.2008551561639625
8,HP71-15,HP71-20240123,A1-3,sample,hide,,A1-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2205.88,2205.96,2196.61,2196.6,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.584,Plate2,A1,,1.584,,9.315000000000055,1.1695649944914162,0.23391299889828324,0.1871303991186266,0.3722841002811085,0.18839696541362516,0.18839696541362516,0.374803853863641,0.374803853863641,0.23549620676703142,0.23549620676703142
9,HP71-15,HP71-20240123,A1-3,sample,hide,,A1-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2205.88,2205.96,2196.61,2196.6,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.604,Plate2,B1,,1.604,,9.315000000000055,1.1853970731788979,0.23707941463577958,0.18966353170862368,0.3773236074461736,0.18839696541362516,0.18839696541362516,0.374803853863641,0.374803853863641,0.23549620676703142,0.23549620676703142
